,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,A Walk Among the Tombstones,0,2014-09-19,R,"['1984 Private Defense Contractors', 'Universal Pictures']",0,0,0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",/name/nm0000553/,/name/nm1405398/,/name/nm1092086/,/name/nm2933542/,/name/nm0173997/,/name/nm0567370/,/name/nm5729373/,/name/nm3450086/,/name/nm1285342/,/name/nm4311436/,['Scott Frank'],"['Lawrence Block', 'Scott Frank']",28000000,12758780,26307600.0,58834384.0,tt0365907
0,The Giver,0,2014-08-15,PG-13,"['Tonik Productions', 'The Weinstein Company']",0,0,0,"['Drama', 'Romance', 'Sci-Fi']",/name/nm4154798/,/name/nm0000313/,/name/nm0000658/,/name/nm2357847/,/name/nm0002907/,/name/nm0005017/,/name/nm3843467/,/name/nm1185747/,/name/nm4590173/,/name/nm6673560/,['Phillip Noyce'],"['Michael Mitnick', 'Robert B. Weide', 'Lois Lowry']",25000000,12305016,45090374.0,66980456.0,tt0435651
0,Before We Go,0,2015-07-21,PG-13,"['G4 Productions', 'Sierra / Affinity', 'RADiUS-TWC']",0,0,0,"['Comedy', 'Drama', 'Romance']",/name/nm0262635/,/name/nm1404408/,/name/nm3500747/,/name/nm0191633/,/name/nm0440860/,/name/nm3068603/,/name/nm0818934/,/name/nm3544560/,/name/nm0288963/,/name/nm1002935/,['Chris Evans'],"['Ronald Bass', 'Jen Smolka', 'Chris Shafer', 'Paul Vicknair', 'Ronald Bass', 'Jen Smolka']",18630,37151,462875.0,,tt0443465
0,The Equalizer,0,2014-09-26,R,"['Columbia Pictures', 'Columbia Pictures']",0,0,0,"['Action', 'Crime', 'Thriller']",/name/nm0000243/,/name/nm0190744/,/name/nm1631269/,/name/nm1092086/,/name/nm2247245/,/name/nm0000597/,/name/nm0502425/,/name/nm1635108/,/name/nm3495787/,/name/nm0891514/,['Antoine Fuqua'],"['Richard Wenk', 'Michael Sloan', 'Richard Lindheim']",55000000,34137828,101530738.0,192330738.0,tt0455944
0,A Long Way Down,0,2014-06-05,R,"['Wildgaze Films', 'Magnolia Pictures']",0,0,0,"['Comedy', 'Drama']",/name/nm0000112/,/name/nm0001057/,/name/nm1782299/,/name/nm0666739/,/name/nm5404744/,/name/nm3771184/,/name/nm0239017/,/name/nm0103415/,/name/nm0000554/,/name/nm0252936/,['Pascal Chaumeil'],"['Nick Hornby', 'Jack Thorne']",12000000,1426,13347.0,7257942.0,tt0458413
0,Sin City: A Dame to Kill For,0,2014-08-22,R,"['Aldamisa Entertainment', 'Aldamisa International', 'TWC-Dimension']",0,0,0,"['Action', 'Crime', 'Thriller']",/name/nm0000620/,/name/nm0004695/,/name/nm0000982/,/name/nm0330687/,/name/nm0206257/,/name/nm0000246/,/name/nm1200692/,/name/nm0000959/,/name/nm0371660/,/name/nm0000501/,"['Frank Miller', 'Robert Rodriguez']","['Frank Miller', 'Frank Miller']",65000000,6317683,13757804.0,39407616.0,tt0458481
0,Ex Machina,0,2015-04-24,R,"['Universal Pictures International (UPI)', 'A24']",0,0,0,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",/name/nm2539953/,/name/nm1727304/,/name/nm1209966/,/name/nm4420495/,/name/nm0424819/,/name/nm7048733/,/name/nm5883179/,/name/nm7232418/,/name/nm4031531/,/name/nm6045387/,['Alex Garland'],['Alex Garland'],15000000,237264,25442958.0,36869414.0,tt0470752
0,The Hero of Color City,0,2015-07-31,G,"['Exodus Film Group', 'Magnolia Pictures']",0,0,0,"['Animation', 'Family']",/name/nm0005562/,/name/nm0000207/,/name/nm0001609/,/name/nm0103750/,/name/nm0197354/,/name/nm6753748/,/name/nm0363641/,/name/nm2803372/,/name/nm0443286/,/name/nm8683349/,['Frank Gladstone'],"['Jess Kedward', 'J.P. McCormick', 'Kirsty Peart', 'Rich Raczelowski']",24260,32188,115335.0,,tt0498351
0,Kid Cannabis,0,2014-04-18,Not Rated,"['Gordon Bijelonic / Datari Turner Films', 'Well Go USA Entertainment']",0,0,0,"['Biography', 'Comedy', 'Crime', 'Drama']",/name/nm3967854/,/name/nm1552693/,/name/nm1683094/,/name/nm0000579/,/name/nm0001525/,/name/nm1143429/,/name/nm0961093/,/name/nm1604007/,/name/nm0050629/,/name/nm4488686/,['John Stockwell'],"['John Stockwell', 'Mark Binelli']",5000000,5565,5565.0,5565.0,tt0780548
0,The Boxtrolls,0,2014-09-26,PG,"['Focus Features', 'Focus Features']",0,0,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",/name/nm0001426/,/name/nm0364813/,/name/nm0296545/,/name/nm1547964/,/name/nm0089710/,/name/nm0048389/,/name/nm6720892/,/name/nm0605079/,/name/nm0296546/,/name/nm0289710/,"['Graham Annable', 'Anthony Stacchi']","['Irena Brignull', 'Adam Pava', 'Alan Snow', 'Anthony Stacchi', 'Phil Dale', 'Vera Brosgol']",60000000,17275239,50837305.0,108255770.0,tt0787474
