,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,Home Movies,0,1980-05-16,PG,"['Warner Bros.', 'Warner Bros.']",0,0,0,['Comedy'],/name/nm0001618/,/name/nm0000134/,/name/nm5939164/,/name/nm0175814/,/name/nm0191442/,/name/nm0924154/,/name/nm0131966/,/name/nm0281909/,/name/nm5279916/,/name/nm0656929/,"['David Nutter', 'Alan Taylor', 'Alex Graves', 'Miguel Sapochnik', 'Mark Mylod', 'Jeremy Podeswa', 'Daniel Minahan', 'Alik Sakharov', 'Michelle MacLaren', 'Brian Kirk', 'David Benioff', 'D.B. Weiss', 'Timothy Van Patten', 'Neil Marshall', 'David Petrarca', 'Michael Slovis', 'Jack Bender', 'Daniel Sackheim', 'Matt Shakman']","['David Benioff', 'George R.R. Martin', 'D.B. Weiss', 'Dave Hill', 'Bryan Cogman', 'Ethan J. Antonucci', 'Gursimran Sandhu', 'Vanessa Taylor', 'Jane Espenson']",55000000.0,96202337.0,335451311.0,1074251311.0,
0,The Other Side of the Wind,0,2018-11-02,R,"['Royal Road Entertainment', 'Netflix']",0,0,0,[],/name/nm0001379/,/name/nm0462648/,/name/nm0000953/,/name/nm0001782/,/name/nm0287988/,/name/nm0709947/,/name/nm0658339/,/name/nm0639529/,/name/nm0564790/,/name/nm0593192/,['Orson Welles'],"['Orson Welles', 'Oja Kodar']",,,,,tt0069049
0,Heaven & Hell,0,2018-11-06,,"['SP Sales Worldwide', 'SP Sales Worldwide', 'SP Distribution']",0,0,0,[],/name/nm0528638/,/name/nm2341584/,/name/nm1028702/,/name/nm4341690/,/name/nm0225741/,/name/nm0338807/,/name/nm1746605/,/name/nm0624468/,/name/nm0638789/,/name/nm0666774/,['Stuart Paul'],['Stuart Paul'],5000000.0,,,,tt0192528
0,Fahrenheit 451,0,2018-05-19,TV-14,"['HBO Films', 'Home Box Office (HBO)']",0,0,0,[],/name/nm0430107/,/name/nm2210323/,/name/nm0441654/,/name/nm0788335/,/name/nm1534287/,/name/nm1792091/,/name/nm2576356/,/name/nm6545330/,/name/nm3110050/,/name/nm9843986/,['Ramin Bahrani'],"['Ray Bradbury', 'Ramin Bahrani', 'Amir Naderi']",,,,,tt0360556
0,Nappily Ever After,0,2018-09-21,TV-MA,"['Netflix', 'Netflix']",0,0,0,[],/name/nm0005125/,/name/nm1340638/,/name/nm0072713/,/name/nm0005551/,/name/nm0001368/,/name/nm8313433/,/name/nm0345477/,/name/nm3593414/,/name/nm0785352/,/name/nm0363885/,['Haifaa Al-Mansour'],"['Adam Brooks', 'Cee Marcellus', 'Trisha R. Thomas']",,,,,tt0365545
0,A Million Little Pieces,0,2019-12-06,R,"['Momentum Pictures', 'Creative Artists Agency (CAA)', 'Momentum Pictures']",0,0,0,[],/name/nm1093951/,/name/nm0000671/,/name/nm3747611/,/name/nm0000610/,/name/nm0000496/,/name/nm0005231/,/name/nm0663174/,/name/nm0403652/,/name/nm2810287/,/name/nm0023885/,['Sam Taylor-Johnson'],"['James Frey', 'Aaron Taylor-Johnson', 'Sam Taylor-Johnson']",89825.0,,,,tt0427543
0,The Queen of Sheba Meets the Atom Man,0,2018-08-24,,[],0,0,0,[],/name/nm0574929/,/name/nm1759954/,/name/nm0065191/,/name/nm2962220/,/name/nm2959280/,/name/nm0539652/,/name/nm0577263/,/name/nm0723534/,/name/nm0753067/,/name/nm0808542/,['Ron Rice'],['Ron Rice'],,,,,tt0432010
0,Caravaggio and My Mother the Pope,0,2018-12-10,,['Giadeyes Productions'],0,0,0,[],/name/nm2340291/,/name/nm10004339/,/name/nm0873773/,/name/nm0495797/,/name/nm0033509/,/name/nm5137292/,/name/nm3513244/,/name/nm0069313/,/name/nm4594913/,/name/nm2842767/,['Gladys Florence'],['Gladys Florence'],3000000.0,,,,tt0825334
0,Amsteroid,0,2018-09-27,,['Odd Angle Entertainment'],0,0,0,[],/name/nm2370487/,/name/nm2370103/,/name/nm2370991/,/name/nm2371504/,/name/nm2370205/,/name/nm2372829/,/name/nm4007787/,/name/nm2372292/,/name/nm2372412/,/name/nm1354800/,['John Higbie'],['John Higbie'],,,,,tt0850247
0,RxCannabis: A Freedom Tale,0,2018,,['Convivencia Forever Films'],0,0,0,[],,,,,,,,,,,['Harvey Stein'],[],150000.0,,,,tt0891581
