,title_code,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int
0,tt0079302,Home Movies,0,1980-05-16,PG,"['SLC', 'United Artists Classics']",0,0,0,[],/name/nm0000262/,/name/nm0202629/,/name/nm0000018/,/name/nm0306696/,/name/nm0330360/,/name/nm0334057/,/name/nm0876808/,/name/nm0353614/,/name/nm0757854/,/name/nm0096431/,['Brian De Palma'],"['Kim Ambler', 'Brian De Palma', 'Dana Edelman', 'Robert Harders', 'Stephen Le May', 'Charlie Loventhal', 'Gloria Norris']",400000.0,89134.0,89134.0,
0,tt0276132,The Fetishist,0,2019-09-24,,[],0,0,0,[],,,,,,,,,,,['Jim Trainor'],[],,,,
0,tt0279481,Travel Daze,0,2019-05-31,,['Circa 1964'],0,0,0,[],/name/nm0819369/,/name/nm0265619/,/name/nm0746835/,/name/nm0838814/,/name/nm0915099/,/name/nm10838929/,,,,,['Michael Possert Jr.'],['Michael Possert Jr.'],,,,
0,tt0441881,Danger Close,0,2019-11-08,R,"['Deeper Water', 'Saboteur Media', 'Saban Films']",0,0,0,[],/name/nm1379938/,/name/nm9826817/,/name/nm1542397/,/name/nm2527406/,/name/nm5937328/,/name/nm9680111/,/name/nm3478396/,/name/nm7011217/,/name/nm2828232/,/name/nm7202582/,['Kriv Stenders'],"['Stuart Beattie', 'James Nicholas', 'Karel Segers', 'Paul Sullivan', 'Jack Brislee']",35000000.0,2078370.0,,
0,tt0800325,The Dirt,0,2019-03-22,TV-MA,"['10th Street Entertainment', 'Netflix']",0,0,0,[],/name/nm3150488/,/name/nm3701064/,/name/nm0446622/,/name/nm3206486/,/name/nm4950947/,/name/nm2473806/,/name/nm9923628/,/name/nm3571490/,/name/nm6778538/,/name/nm4054025/,['Jeff Tremaine'],"['Amanda Adelson', 'Tommy Lee', 'Mick Mars', 'Vince Neil', 'Nikki Sixx', 'Neil Strauss', 'Rich Wilkes']",,,,
0,tt0846775,Cine Manifest,0,2019-06-30,Not Rated,['Neska Euskaldunaren Pelikula'],0,0,0,[],/name/nm0180644/,/name/nm0315170/,/name/nm0361301/,/name/nm0410062/,/name/nm0003213/,/name/nm0632300/,/name/nm0915377/,,,,['Judy Irola'],[],,,,
0,tt0858419,Bolden,0,2019-05-03,R,"['King Bolden', 'Abramorama']",0,0,0,[],/name/nm3338149/,/name/nm0367510/,/name/nm0574534/,/name/nm0740264/,/name/nm1861624/,/name/nm0934008/,/name/nm0722647/,/name/nm0007018/,/name/nm0448129/,/name/nm4234053/,['Dan Pritzker'],"['Dan Pritzker', 'Dan Pritzker', 'David Rothschild']",,,,
0,tt10003978,Fiddler: A Miracle of Miracles,0,2019-11-05,PG-13,['Roadside Attractions'],0,0,0,[],/name/nm11046471/,/name/nm2744631/,/name/nm0090656/,/name/nm1388685/,/name/nm0149446/,/name/nm1753386/,/name/nm11046472/,/name/nm4842375/,/name/nm0001213/,/name/nm0001297/,['Max Lewkowicz'],"['Max Lewkowicz', 'Valerie Thomas']",36425.0,549386.0,558816.0,
0,tt10004372,Soccer in the City,0,2019-12-03,,['The Content Farm'],0,0,0,[],,,,,,,,,,,['Michael Holstein'],"['Michael Holstein', 'Ahsan Naeem', 'Judy Plavnick']",255000.0,,,
0,tt10004574,Paradise,0,2019-04-19,,"['480 Films', '480 FIlms']",0,0,0,[],/name/nm3839912/,/name/nm3275304/,/name/nm8413691/,/name/nm9302686/,/name/nm10539953/,/name/nm10539954/,/name/nm6007616/,/name/nm9388037/,/name/nm7067025/,/name/nm6370793/,['Rodney Jackson'],['Tavares M. Wilson'],10000.0,,,
