,actor,popularity
0,/name/nm0000002/,2519
0,/name/nm0000004/,5460
0,/name/nm0000005/,2932
0,/name/nm0000006/,2565
0,/name/nm0000008/,412
0,/name/nm0000015/,2398
0,/name/nm0000024/,10179
0,/name/nm0000033/,863
0,/name/nm0000040/,625
0,/name/nm0000054/,1773
0,/name/nm0000056/,719
0,/name/nm0000059/,2117
0,/name/nm0000076/,5360
0,/name/nm0000079/,1079
0,/name/nm0000080/,733
0,/name/nm0000081/,128
0,/name/nm0000084/,3222
0,/name/nm0000092/,3137
0,/name/nm0000093/,48
0,/name/nm0000095/,793
0,/name/nm0000096/,575
0,/name/nm0000097/,1320
0,/name/nm0000098/,242
0,/name/nm0000099/,969
0,/name/nm0000100/,3186
0,/name/nm0000101/,3040
0,/name/nm0000102/,912
0,/name/nm0000104/,1088
0,/name/nm0000105/,1244
0,/name/nm0000106/,920
0,/name/nm0000110/,1124
0,/name/nm0000111/,1546
0,/name/nm0000112/,782
0,/name/nm0000113/,426
0,/name/nm0000114/,1188
0,/name/nm0000115/,41
0,/name/nm0000116/,1308
0,/name/nm0000117/,783
0,/name/nm0000119/,1424
0,/name/nm0000120/,246
0,/name/nm0000123/,233
0,/name/nm0000124/,98
0,/name/nm0000126/,389
0,/name/nm0000128/,562
0,/name/nm0000129/,49
0,/name/nm0000130/,829
0,/name/nm0000131/,983
0,/name/nm0000132/,264
0,/name/nm0000133/,1012
0,/name/nm0000134/,219
0,/name/nm0000136/,106
0,/name/nm0000138/,63
0,/name/nm0000142/,133
0,/name/nm0000144/,417
0,/name/nm0000146/,554
0,/name/nm0000147/,1285
0,/name/nm0000148/,132
0,/name/nm0000149/,532
0,/name/nm0000151/,630
0,/name/nm0000152/,1398
0,/name/nm0000153/,985
0,/name/nm0000154/,276
0,/name/nm0000155/,2416
0,/name/nm0000156/,743
0,/name/nm0000157/,1582
0,/name/nm0000158/,102
0,/name/nm0000160/,732
0,/name/nm0000161/,673
0,/name/nm0000162/,1581
0,/name/nm0000163/,1354
0,/name/nm0000164/,541
0,/name/nm0000166/,406
0,/name/nm0000168/,408
0,/name/nm0000169/,1189
0,/name/nm0000170/,475
0,/name/nm0000171/,1675
0,/name/nm0000172/,2350
0,/name/nm0000173/,405
0,/name/nm0000174/,216
0,/name/nm0000177/,2498
0,/name/nm0000178/,480
0,/name/nm0000179/,725
0,/name/nm0000182/,1065
0,/name/nm0000185/,1894
0,/name/nm0000186/,702
0,/name/nm0000187/,3580
0,/name/nm0000188/,1840
0,/name/nm0000190/,178
0,/name/nm0000191/,307
0,/name/nm0000192/,1222
0,/name/nm0000193/,820
0,/name/nm0000194/,848
0,/name/nm0000195/,1032
0,/name/nm0000196/,1819
0,/name/nm0000198/,571
0,/name/nm0000199/,226
0,/name/nm0000200/,916
0,/name/nm0000201/,519
0,/name/nm0000202/,1872
0,/name/nm0000204/,87
0,/name/nm0000205/,713
0,/name/nm0000206/,120
0,/name/nm0000208/,553
0,/name/nm0000209/,1505
0,/name/nm0000210/,432
0,/name/nm0000211/,934
0,/name/nm0000213/,453
0,/name/nm0000215/,1265
0,/name/nm0000216/,348
0,/name/nm0000217/,290
0,/name/nm0000218/,2250
0,/name/nm0000219/,1681
0,/name/nm0000221/,1317
0,/name/nm0000223/,357
0,/name/nm0000224/,248
0,/name/nm0000225/,1361
0,/name/nm0000226/,157
0,/name/nm0000227/,68
0,/name/nm0000228/,672
0,/name/nm0000230/,118
0,/name/nm0000232/,726
0,/name/nm0000233/,73
0,/name/nm0000234/,185
0,/name/nm0000235/,810
0,/name/nm0000237/,642
0,/name/nm0000241/,844
0,/name/nm0000242/,206
0,/name/nm0000243/,286
0,/name/nm0000244/,894
0,/name/nm0000246/,253
0,/name/nm0000249/,2182
0,/name/nm0000250/,332
0,/name/nm0000255/,243
0,/name/nm0000257/,3177
0,/name/nm0000260/,2717
0,/name/nm0000263/,2028
0,/name/nm0000265/,4814
0,/name/nm0000267/,631
0,/name/nm0000268/,928
0,/name/nm0000271/,3433
0,/name/nm0000272/,9265
0,/name/nm0000273/,2425
0,/name/nm0000274/,3957
0,/name/nm0000275/,2920
0,/name/nm0000276/,1024
0,/name/nm0000278/,5246
0,/name/nm0000285/,1846
0,/name/nm0000286/,3666
0,/name/nm0000287/,3474
0,/name/nm0000288/,147
0,/name/nm0000289/,1632
0,/name/nm0000291/,1436
0,/name/nm0000293/,896
0,/name/nm0000295/,155
0,/name/nm0000297/,2174
0,/name/nm0000298/,2935
0,/name/nm0000299/,626
0,/name/nm0000300/,3169
0,/name/nm0000301/,919
0,/name/nm0000302/,3182
0,/name/nm0000307/,595
0,/name/nm0000309/,3704
0,/name/nm0000313/,869
0,/name/nm0000316/,1694
0,/name/nm0000317/,462
0,/name/nm0000319/,6091
0,/name/nm0000321/,2330
0,/name/nm0000323/,1293
0,/name/nm0000329/,750
0,/name/nm0000331/,474
0,/name/nm0000332/,2413
0,/name/nm0000333/,2804
0,/name/nm0000334/,5756
0,/name/nm0000335/,2049
0,/name/nm0000338/,1202
0,/name/nm0000339/,7365
0,/name/nm0000342/,1806
0,/name/nm0000343/,2414
0,/name/nm0000345/,2246
0,/name/nm0000349/,2158
0,/name/nm0000350/,1836
0,/name/nm0000352/,761
0,/name/nm0000353/,1080
0,/name/nm0000354/,234
0,/name/nm0000355/,2312
0,/name/nm0000357/,5293
0,/name/nm0000358/,451
0,/name/nm0000360/,1658
0,/name/nm0000361/,1977
0,/name/nm0000362/,1206
0,/name/nm0000363/,10309
0,/name/nm0000365/,3710
0,/name/nm0000367/,4598
0,/name/nm0000368/,762
0,/name/nm0000369/,2308
0,/name/nm0000373/,3326
0,/name/nm0000375/,164
0,/name/nm0000376/,2022
0,/name/nm0000377/,2058
0,/name/nm0000378/,1622
0,/name/nm0000379/,284
0,/name/nm0000381/,2447
0,/name/nm0000383/,976
0,/name/nm0000385/,1059
0,/name/nm0000388/,3847
0,/name/nm0000389/,1369
0,/name/nm0000391/,3548
0,/name/nm0000398/,1333
0,/name/nm0000399/,434
0,/name/nm0000401/,1897
0,/name/nm0000402/,231
0,/name/nm0000404/,1137
0,/name/nm0000405/,1470
0,/name/nm0000407/,1991
0,/name/nm0000410/,4480
0,/name/nm0000412/,1693
0,/name/nm0000413/,3037
0,/name/nm0000417/,546
0,/name/nm0000418/,3278
0,/name/nm0000419/,4747
0,/name/nm0000420/,2710
0,/name/nm0000422/,1267
0,/name/nm0000424/,1648
0,/name/nm0000427/,2234
0,/name/nm0000429/,2207
0,/name/nm0000430/,2652
0,/name/nm0000434/,324
0,/name/nm0000437/,776
0,/name/nm0000438/,506
0,/name/nm0000442/,2093
0,/name/nm0000443/,1598
0,/name/nm0000444/,1839
0,/name/nm0000448/,686
0,/name/nm0000450/,975
0,/name/nm0000454/,2791
0,/name/nm0000456/,1001
0,/name/nm0000457/,1924
0,/name/nm0000458/,2535
0,/name/nm0000459/,2975
0,/name/nm0000460/,2072
0,/name/nm0000461/,3642
0,/name/nm0000463/,521
0,/name/nm0000464/,2968
0,/name/nm0000465/,6629
0,/name/nm0000467/,1934
0,/name/nm0000469/,1853
0,/name/nm0000473/,1020
0,/name/nm0000474/,1469
0,/name/nm0000483/,2012
0,/name/nm0000491/,1168
0,/name/nm0000492/,456
0,/name/nm0000496/,874
0,/name/nm0000498/,1607
0,/name/nm0000499/,1834
0,/name/nm0000500/,2701
0,/name/nm0000501/,1886
0,/name/nm0000502/,482
0,/name/nm0000505/,2627
0,/name/nm0000507/,756
0,/name/nm0000510/,1783
0,/name/nm0000511/,2466
0,/name/nm0000513/,2767
0,/name/nm0000514/,2369
0,/name/nm0000515/,1021
0,/name/nm0000516/,4060
0,/name/nm0000518/,1063
0,/name/nm0000523/,1538
0,/name/nm0000526/,1102
0,/name/nm0000529/,2192
0,/name/nm0000531/,2256
0,/name/nm0000532/,2003
0,/name/nm0000537/,1577
0,/name/nm0000538/,2379
0,/name/nm0000541/,4802
0,/name/nm0000542/,775
0,/name/nm0000545/,1232
0,/name/nm0000546/,3263
0,/name/nm0000547/,1932
0,/name/nm0000549/,1923
0,/name/nm0000551/,1050
0,/name/nm0000552/,1041
0,/name/nm0000553/,355
0,/name/nm0000554/,815
0,/name/nm0000560/,789
0,/name/nm0000562/,5479
0,/name/nm0000569/,972
0,/name/nm0000571/,1085
0,/name/nm0000572/,1759
0,/name/nm0000573/,4613
0,/name/nm0000574/,5092
0,/name/nm0000576/,1095
0,/name/nm0000578/,4479
0,/name/nm0000579/,1565
0,/name/nm0000582/,1925
0,/name/nm0000586/,1813
0,/name/nm0000588/,1916
0,/name/nm0000591/,1010
0,/name/nm0000593/,610
0,/name/nm0000596/,2147
0,/name/nm0000597/,1733
0,/name/nm0000598/,1455
0,/name/nm0000599/,2976
0,/name/nm0000602/,684
0,/name/nm0000603/,2255
0,/name/nm0000604/,1880
0,/name/nm0000606/,2560
0,/name/nm0000608/,1459
0,/name/nm0000609/,3398
0,/name/nm0000610/,2039
0,/name/nm0000612/,466
0,/name/nm0000613/,650
0,/name/nm0000614/,1269
0,/name/nm0000616/,991
0,/name/nm0000618/,2981
0,/name/nm0000619/,1855
0,/name/nm0000620/,755
0,/name/nm0000621/,602
0,/name/nm0000623/,1276
0,/name/nm0000624/,1769
0,/name/nm0000627/,4410
0,/name/nm0000628/,3209
0,/name/nm0000630/,1809
0,/name/nm0000638/,1682
0,/name/nm0000640/,1889
0,/name/nm0000641/,3053
0,/name/nm0000643/,2934
0,/name/nm0000644/,2612
0,/name/nm0000648/,1411
0,/name/nm0000649/,6742
0,/name/nm0000651/,2252
0,/name/nm0000652/,278
0,/name/nm0000653/,2387
0,/name/nm0000654/,2761
0,/name/nm0000655/,2238
0,/name/nm0000657/,2700
0,/name/nm0000658/,518
0,/name/nm0000661/,1579
0,/name/nm0000662/,1692
0,/name/nm0000663/,1576
0,/name/nm0000665/,5553
0,/name/nm0000666/,4212
0,/name/nm0000667/,1501
0,/name/nm0000668/,767
0,/name/nm0000670/,457
0,/name/nm0000671/,1348
0,/name/nm0000673/,367
0,/name/nm0000675/,1378
0,/name/nm0000677/,799
0,/name/nm0000679/,3300
0,/name/nm0000680/,458
0,/name/nm0000681/,1291
0,/name/nm0000683/,25810
0,/name/nm0000684/,2458
0,/name/nm0000685/,1898
0,/name/nm0000686/,1444
0,/name/nm0000688/,2598
0,/name/nm0000695/,520
0,/name/nm0000700/,1788
0,/name/nm0000701/,524
0,/name/nm0000702/,247
0,/name/nm0000703/,2774
0,/name/nm0000704/,1179
0,/name/nm0000705/,302
0,/name/nm0000706/,1278
0,/name/nm0000708/,1126
0,/name/nm0000719/,2824
0,/name/nm0000725/,2355
0,/name/nm0000729/,1899
0,/name/nm0000732/,8484
0,/name/nm0000737/,6807
0,/name/nm0000738/,26143
0,/name/nm0000741/,2999
0,/name/nm0000744/,2629
0,/name/nm0000751/,6151
0,/name/nm0000768/,1651
0,/name/nm0000775/,139
0,/name/nm0000782/,3777
0,/name/nm0000788/,23190
0,/name/nm0000789/,9235
0,/name/nm0000792/,8561
0,/name/nm0000796/,6067
0,/name/nm0000797/,13138
0,/name/nm0000798/,6319
0,/name/nm0000799/,2523
0,/name/nm0000800/,4379
0,/name/nm0000801/,14097
0,/name/nm0000818/,19446
0,/name/nm0000821/,4468
0,/name/nm0000834/,3671
0,/name/nm0000837/,6608
0,/name/nm0000840/,2871
0,/name/nm0000849/,1131
0,/name/nm0000855/,6756
0,/name/nm0000862/,12376
0,/name/nm0000867/,82
0,/name/nm0000870/,1078
0,/name/nm0000871/,12655
0,/name/nm0000874/,1540
0,/name/nm0000882/,16273
0,/name/nm0000886/,2644
0,/name/nm0000893/,4701
0,/name/nm0000896/,12474
0,/name/nm0000902/,3995
0,/name/nm0000906/,1837
0,/name/nm0000908/,10512
0,/name/nm0000911/,20503
0,/name/nm0000912/,14559
0,/name/nm0000928/,7186
0,/name/nm0000929/,1907
0,/name/nm0000931/,656
0,/name/nm0000932/,902
0,/name/nm0000933/,5617
0,/name/nm0000949/,161
0,/name/nm0000953/,3476
0,/name/nm0000954/,10732
0,/name/nm0000973/,2807
0,/name/nm0000977/,4988
0,/name/nm0000980/,3110
0,/name/nm0000981/,2116
0,/name/nm0000982/,362
0,/name/nm0000983/,3785
0,/name/nm0000985/,7863
0,/name/nm0000986/,5969
0,/name/nm0000988/,6213
0,/name/nm0000990/,9736
0,/name/nm0000995/,3305
0,/name/nm0000998/,3106
0,/name/nm0001001/,1828
0,/name/nm0001002/,4342
0,/name/nm0001003/,6131
0,/name/nm0001015/,1337
0,/name/nm0001019/,4315
0,/name/nm0001021/,2735
0,/name/nm0001022/,7018
0,/name/nm0001026/,2793
0,/name/nm0001029/,1321
0,/name/nm0001035/,6630
0,/name/nm0001036/,4398
0,/name/nm0001038/,4156
0,/name/nm0001043/,898
0,/name/nm0001045/,6465
0,/name/nm0001048/,6918
0,/name/nm0001051/,33389
0,/name/nm0001057/,729
0,/name/nm0001062/,2815
0,/name/nm0001068/,1302
0,/name/nm0001075/,4826
0,/name/nm0001081/,5078
0,/name/nm0001082/,1250
0,/name/nm0001084/,3030
0,/name/nm0001085/,1564
0,/name/nm0001086/,2480
0,/name/nm0001089/,5345
0,/name/nm0001091/,5270
0,/name/nm0001092/,2688
0,/name/nm0001095/,6106
0,/name/nm0001097/,2295
0,/name/nm0001099/,2667
0,/name/nm0001100/,4126
0,/name/nm0001101/,1460
0,/name/nm0001102/,9133
0,/name/nm0001108/,4353
0,/name/nm0001114/,5040
0,/name/nm0001117/,7087
0,/name/nm0001122/,7122
0,/name/nm0001124/,11734
0,/name/nm0001125/,944
0,/name/nm0001132/,1055
0,/name/nm0001133/,1619
0,/name/nm0001136/,2412
0,/name/nm0001143/,5267
0,/name/nm0001151/,3176
0,/name/nm0001153/,3454
0,/name/nm0001155/,8162
0,/name/nm0001156/,6981
0,/name/nm0001159/,1704
0,/name/nm0001162/,5217
0,/name/nm0001163/,11710
0,/name/nm0001165/,8909
0,/name/nm0001168/,10880
0,/name/nm0001172/,2001
0,/name/nm0001173/,1825
0,/name/nm0001187/,1363
0,/name/nm0001191/,238
0,/name/nm0001194/,3707
0,/name/nm0001200/,19325
0,/name/nm0001209/,1158
0,/name/nm0001212/,2139
0,/name/nm0001213/,7086
0,/name/nm0001216/,2420
0,/name/nm0001217/,4203
0,/name/nm0001218/,2157
0,/name/nm0001228/,4096
0,/name/nm0001231/,530
0,/name/nm0001233/,2867
0,/name/nm0001235/,3188
0,/name/nm0001236/,2120
0,/name/nm0001239/,8311
0,/name/nm0001243/,4784
0,/name/nm0001250/,3141
0,/name/nm0001251/,1152
0,/name/nm0001255/,3621
0,/name/nm0001269/,5231
0,/name/nm0001272/,2575
0,/name/nm0001275/,19943
0,/name/nm0001282/,2632
0,/name/nm0001285/,490
0,/name/nm0001287/,949
0,/name/nm0001288/,2819
0,/name/nm0001290/,545
0,/name/nm0001291/,3533
0,/name/nm0001293/,1485
0,/name/nm0001295/,4524
0,/name/nm0001297/,8230
0,/name/nm0001301/,4556
0,/name/nm0001303/,183
0,/name/nm0001305/,4748
0,/name/nm0001309/,127
0,/name/nm0001311/,6776
0,/name/nm0001313/,6127
0,/name/nm0001314/,4387
0,/name/nm0001315/,1703
0,/name/nm0001324/,644
0,/name/nm0001326/,881
0,/name/nm0001334/,4766
0,/name/nm0001335/,4780
0,/name/nm0001337/,751
0,/name/nm0001339/,3107
0,/name/nm0001341/,9669
0,/name/nm0001344/,2465
0,/name/nm0001348/,1140
0,/name/nm0001354/,2075
0,/name/nm0001358/,5213
0,/name/nm0001363/,8236
0,/name/nm0001365/,8125
0,/name/nm0001367/,1623
0,/name/nm0001368/,3769
0,/name/nm0001372/,1164
0,/name/nm0001376/,4350
0,/name/nm0001378/,2470
0,/name/nm0001381/,6510
0,/name/nm0001384/,5987
0,/name/nm0001388/,5172
0,/name/nm0001394/,3280
0,/name/nm0001396/,11542
0,/name/nm0001401/,409
0,/name/nm0001406/,1208
0,/name/nm0001409/,1816
0,/name/nm0001416/,1520
0,/name/nm0001418/,2799
0,/name/nm0001424/,5077
0,/name/nm0001426/,1737
0,/name/nm0001427/,2884
0,/name/nm0001429/,7317
0,/name/nm0001432/,5022
0,/name/nm0001434/,4239
0,/name/nm0001435/,1432
0,/name/nm0001436/,2186
0,/name/nm0001439/,5647
0,/name/nm0001440/,4339
0,/name/nm0001441/,4696
0,/name/nm0001442/,8094
0,/name/nm0001443/,3407
0,/name/nm0001445/,4915
0,/name/nm0001447/,1775
0,/name/nm0001448/,1722
0,/name/nm0001450/,1978
0,/name/nm0001451/,2009
0,/name/nm0001454/,2247
0,/name/nm0001456/,2156
0,/name/nm0001457/,4477
0,/name/nm0001458/,2291
0,/name/nm0001459/,5103
0,/name/nm0001462/,4503
0,/name/nm0001467/,839
0,/name/nm0001471/,4159
0,/name/nm0001473/,94
0,/name/nm0001474/,6275
0,/name/nm0001475/,2091
0,/name/nm0001482/,7131
0,/name/nm0001484/,6687
0,/name/nm0001487/,5083
0,/name/nm0001491/,822
0,/name/nm0001492/,1822
0,/name/nm0001496/,1134
0,/name/nm0001497/,1391
0,/name/nm0001505/,3885
0,/name/nm0001513/,2194
0,/name/nm0001515/,2047
0,/name/nm0001517/,2840
0,/name/nm0001518/,44
0,/name/nm0001519/,250
0,/name/nm0001520/,2135
0,/name/nm0001523/,1184
0,/name/nm0001527/,2092
0,/name/nm0001530/,7223
0,/name/nm0001536/,4966
0,/name/nm0001538/,538
0,/name/nm0001541/,5254
0,/name/nm0001542/,6725
0,/name/nm0001543/,2262
0,/name/nm0001554/,19161
0,/name/nm0001556/,2614
0,/name/nm0001557/,495
0,/name/nm0001564/,1895
0,/name/nm0001567/,179
0,/name/nm0001570/,640
0,/name/nm0001573/,273
0,/name/nm0001579/,3376
0,/name/nm0001584/,1481
0,/name/nm0001589/,3008
0,/name/nm0001590/,5307
0,/name/nm0001592/,402
0,/name/nm0001593/,535
0,/name/nm0001595/,4862
0,/name/nm0001597/,386
0,/name/nm0001598/,2025
0,/name/nm0001599/,4994
0,/name/nm0001602/,798
0,/name/nm0001605/,860
0,/name/nm0001608/,2714
0,/name/nm0001609/,2421
0,/name/nm0001614/,1449
0,/name/nm0001615/,4221
0,/name/nm0001616/,5603
0,/name/nm0001617/,2176
0,/name/nm0001618/,249
0,/name/nm0001624/,4645
0,/name/nm0001625/,3952
0,/name/nm0001626/,1130
0,/name/nm0001629/,3489
0,/name/nm0001633/,1200
0,/name/nm0001641/,9995
0,/name/nm0001648/,2483
0,/name/nm0001650/,2606
0,/name/nm0001653/,4778
0,/name/nm0001654/,7811
0,/name/nm0001661/,560
0,/name/nm0001662/,3072
0,/name/nm0001663/,3923
0,/name/nm0001664/,2102
0,/name/nm0001666/,1654
0,/name/nm0001667/,821
0,/name/nm0001669/,2702
0,/name/nm0001672/,12873
0,/name/nm0001679/,4669
0,/name/nm0001683/,6371
0,/name/nm0001684/,1996
0,/name/nm0001686/,3720
0,/name/nm0001688/,1953
0,/name/nm0001689/,2435
0,/name/nm0001691/,1606
0,/name/nm0001696/,3101
