,title_code,producer,executive
0,tt0385887, Adrian Alperovich , Adrian Alperovich 
0,tt0437086, James Cameron , David Valdes 
0,tt0441881, Stuart Beattie , Justin Boylson 
0,tt0448115, Richard Brener , Richard Brener 
0,tt0783640, Julian Adams , Martin J. Barab 
0,tt0837563, Lorenzo di Bonaventura , Mark Moran 
0,tt10003978, Elena Berger , Patti Kenner 
0,tt10011448, Gabriel Caste , Amy Entelis 
0,tt10017680, Raymond Pak-Ming Wong ,[]
0,tt10026172, Andrew Andonov , Andrew Andonov 
0,tt10027696, Tim Mahoney , Tim Mahoney 
0,tt10039344, Sean Anders , Alex Boies 
0,tt10052290, Michal Kondrat ,[]
0,tt10068158, Kevin Penkin ,[]
0,tt10078290, Aviva Kempner , William Levine 
0,tt10080270, Dessiree Diaz Silva ,[]
0,tt10121372, Mark Fenwick , Mark Fenwick 
0,tt10122042, Bill Craig , Bill Craig 
0,tt10122392, Shir Amir , Scott Berrie 
0,tt10132048, David Clark , Mark Hall 
0,tt10140002, Bonnie Comley , Bonnie Comley 
0,tt10146728, Logan Cascia ,[]
0,tt10147382, Hanjin An , Luyuan Fan 
0,tt10155342, Monia Chokri , Monia Chokri 
0,tt10160722,[],[]
0,tt10160742,[],[]
0,tt10192646, Len Dell'Amico ,[]
0,tt10195210, Leng Yi , Roman Bazyuchenko 
0,tt10199590, Toufik Ayadi ,[]
0,tt10199640, Buslo Aliona ,[]
0,tt10208198, Braden Aftergood ,[]
0,tt10214826, Rahul Yadav Nakka ,[]
0,tt10218674, Ruoqing Fu , Andrew Lau 
0,tt10228168, Muneyuki Kii ,[]
0,tt10234494,[],[]
0,tt1025100, Juliana Moreno Angulo , Brian Bell 
0,tt10260672, Rick Altizer ,[]
0,tt10276114, Tom George , Tom George 
0,tt10279010, Jing Wong ,[]
0,tt10287376, Daniel Berger , Daniel Berger 
0,tt10295602, Leer Cheng , Ray Pang 
0,tt10298454, Natacha Cervi ,[]
0,tt10334456, Sara Bernstein , Sara Bernstein 
0,tt10370822, Ma Bolun , Ma Bolun 
0,tt10379006, Anahid Avanesian , Anahid Avanesian 
0,tt10413458, Josh Aronson , Carolyn Clark Powers 
0,tt10431010, Aravendraj Bhaskaran , Aravendraj Bhaskaran 
0,tt10442108, Bonnie Comley , Bonnie Comley 
0,tt10443252, Craig Archibald , Joseph Piazza 
0,tt10460990, Carlos Piwowarski , Carlos Piwowarski 
0,tt10471420, Andy Curran , Andy Curran 
0,tt10481868, Brigitte Berman , Greg Gilreath 
0,tt10521814, Philip Botti , Philip Botti 
0,tt10545076, Peter Lee ,[]
0,tt10550884, Katrina Kim ,[]
0,tt10551420, Kingman Cho , Ang Gao 
0,tt10572668, Tomohiro Mitsuhashi , Ryuho Okawa 
0,tt10579992, Tim Heidecker , Tim Heidecker 
0,tt10584272, Wai-Chu Chan ,[]
0,tt10627720, Wenzhang Liu , Wenzhang Liu 
0,tt10648440, Hyun-ik Baek ,[]
0,tt10674644, Marcelo Cespedes , Marcelo Cespedes 
0,tt10687158, Barbara Carr ,[]
0,tt10702760, Christopher Bretnall ,[]
0,tt10703826, John Battsek , John-Paul Bernbach 
0,tt10726604, Heeyeun Shin ,[]
0,tt10738914, Sandi Adamiu , Laura Boorhem 
0,tt10764458,[],[]
0,tt10765852, Ben Griffin , Ben Griffin 
0,tt10766808,[],[]
0,tt10844816, Nicco Ardin , Rachel Traub 
0,tt10885994,[],[]
0,tt10892766,[],[]
0,tt10904418,[],[]
0,tt10927906, Won-seok Jang ,[]
0,tt10950526, Zacarias Arenas , Scott Bridge Co 
0,tt10954574,[],[]
0,tt10969382,[],[]
0,tt10979830, Doug Biro , Doug Biro 
0,tt10980000,[],[]
0,tt11023922, Jerad Anderson , Jerad Anderson 
0,tt11029976, Danny Fisher , Danny Fisher 
0,tt11044122, Jack Bennett , Jack Bennett 
0,tt11062388, Christian Ackerman , BJ McDonnell 
0,tt11062392,[],[]
0,tt11091530, Chengpeng Dong ,[]
0,tt11100434,[],[]
0,tt11107074,[],[]
0,tt11119936,[],[]
0,tt11177112, Jinhee Kim ,[]
0,tt11197874, Matthew Barney ,[]
0,tt11229886, Dione Orrom , Helen Parker 
0,tt11285908, Myung Chan Kang ,[]
0,tt11321574, Damon Albarn , Damon Albarn 
0,tt11349958, André Dupuy , Claude Paiement 
0,tt11448176,[],[]
0,tt1206885, Louis Arriola , Louis Arriola 
0,tt1298644, Roger Birnbaum , Ilona Herzberg 
0,tt1302006, Richard Baratta , Richard Baratta 
0,tt1489887, Katie Ballaine , Will Ferrell 
0,tt1560220, Doug Belgrad , Doug Belgrad 
0,tt1604560, Nicky Arezu Akmal , Joseph Aranov 
0,tt1620981, Gail Berman , Jason Cloth 
0,tt1650060, Michael Hagerty , Matthew Hanson 
0,tt1657517, Christian Angermayer , Christian Angermayer 
0,tt1780967, Naima Abed , Naima Abed 
0,tt1881109, Caroline Aragon , Brian Kutsunai 
0,tt1946502, Oren Aviv , Gabriel Bloch 
0,tt1950186, Dani Bernfeld , Dani Bernfeld 
0,tt1979376, Pete Docter , Pete Docter 
0,tt2066051, Adam Bohling , Michael Gracey 
0,tt2076298, Guy Allon , Edmond Wong 
0,tt2139881, A.J. Dix , Joseph Drake 
0,tt2274648, Martin Bernfeld , Christa Campbell 
0,tt2275629, Kokayi Ampah , C. Dean Metropoulos 
0,tt2283336, David Beaubaire , David Beaubaire 
0,tt2395469, Farhan Akhtar , Stuti Ramachandra 
0,tt2398149, Roman Abramovich , Roman Abramovich 
0,tt2452244, Richard Brener , Richard Brener 
0,tt2527338, J.J. Abrams , Tommy Gormley 
0,tt2584384, Carthew Neal , Kevan Van Thompson 
0,tt2762506, Dora Amorim , Dora Amorim 
0,tt2789014, Jason L. Koerner , Jason L. Koerner 
0,tt2935510, Marc Butan , Marc Butan 
0,tt3009772, Mike Falbo , Nick Moceri 
0,tt3038708, Glenn Kendrick Ackermann , Glenn Kendrick Ackermann 
0,tt3138122, Robert Ogden Barnum , Colin Bates 
0,tt3224458, Micah Fitzerman-Blue , Micah Fitzerman-Blue 
0,tt3281548, Denise Di Novi , Adam Merims 
0,tt3282076, Jean-Baptiste Babin , Jean-Baptiste Babin 
0,tt3340446, Michael Boughen , Justin Deimen 
0,tt3361792, Peter Chernin ,[]
0,tt3387520, Jason F. Brown , Zhitang Chen 
0,tt3513498, Will Allegra , Will Allegra 
0,tt3513548, Andy Berman ,[]
0,tt3517870, Autumn Bailey , Tim Barrett 
0,tt3584496, Jeri Baker , Jeffrey Grellman 
0,tt3741700, Matt Allsopp , Yoshimitsu Banno 
0,tt3856408, Carla Brewington , Carla Brewington 
0,tt3864056, Margaret Chernin , Sue Kroll 
0,tt4060544, Jennifer Gibgot , Dede Nickerson 
0,tt4126476, Lars Ahlgreen , Vassal Benford 
0,tt4154664, Victoria Alonso , Victoria Alonso 
0,tt4154796, Victoria Alonso , Victoria Alonso 
0,tt4169146, Val Abel , Gus Deardoff 
0,tt4329810, Joe Clarke , Joe Clarke 
0,tt4353250, Kabeer Aziz , Sarah Esberg 
0,tt4354756, Andrew P. Aguilar , Jason Bender 
0,tt4364194, Albert Berger , Carmella Casinelli 
0,tt4426464, Byron Allen , Byron Allen 
0,tt4444798, Sam Claitor , Khuloud Kelly Rabadi 
0,tt4463894, Kenya Barris , Kenya Barris 
0,tt4504044, Daniel Bekerman , Daniel Bekerman 
0,tt4520988, Peter Del Vecho , Byron Howard 
0,tt4558200, Alec Baldwin , Christopher Barish 
0,tt4648786, Nnamdi Asomugha , Nnamdi Asomugha 
0,tt4682804, Molly Allen , Molly Allen 
0,tt4777008, Bryan H. Carroll , Jeff Kirschenbaum 
0,tt4807408, Matt Berenson , Rick Jackson 
0,tt4844140, Naima Abed , Naima Abed 
0,tt4916630, Scott Budnick , Scott Budnick 
0,tt4975920, Richard Brickell , Richard Brickell 
0,tt5032364, Suzanne Accosta , Charlotte Arden 
0,tt5033998, Elizabeth Banks , Drew Barrymore 
0,tt5073642, Brett W. Bachman , Timur Bekbosunov 
0,tt5092484, Luis Guerrero , Jay Hernandez 
