,actor,name
0,/name/nm0000168/,Samuel L. Jackson
1,/name/nm0000437/,Woody Harrelson
2,/name/nm0000243/,Denzel Washington
3,/name/nm0000285/,Alec Baldwin
4,/name/nm0000173/,Nicole Kidman
5,/name/nm0290556/,James Franco
6,/name/nm0000128/,Russell Crowe
7,/name/nm0425005/,Dwayne Johnson
8,/name/nm0366389/,Kevin Hart
9,/name/nm0001401/,Angelina Jolie
10,/name/nm0000138/,Leonardo DiCaprio
12,/name/nm0000237/,John Travolta
13,/name/nm0000204/,Natalie Portman
14,/name/nm0000115/,Nicolas Cage
15,/name/nm3485845/,Adam Driver
16,/name/nm0001570/,Edward Norton
17,/name/nm0000160/,Ethan Hawke
18,/name/nm3053338/,Margot Robbie
20,/name/nm0252961/,Idris Elba
21,/name/nm0000329/,Jackie Chan
22,/name/nm0000228/,Kevin Spacey
24,/name/nm0829576/,Kristen Stewart
25,/name/nm0000234/,Charlize Theron
26,/name/nm1165110/,Chris Hemsworth
27,/name/nm0000125/,Sean Connery
28,/name/nm0837177/,Jason Sudeikis
29,/name/nm0000190/,Matthew McConaughey
30,/name/nm0461136/,Keira Knightley
31,/name/nm0004874/,Vin Diesel
32,/name/nm0136797/,Steve Carell
33,/name/nm0000123/,George Clooney
34,/name/nm0000215/,Susan Sarandon
35,/name/nm0000197/,Jack Nicholson
36,/name/nm0000353/,Willem Dafoe
37,/name/nm0447695/,Anna Kendrick
39,/name/nm0000375/,Robert Downey Jr.
40,/name/nm0000154/,Mel Gibson
41,/name/nm0424060/,Scarlett Johansson
42,/name/nm1055413/,Michael Fassbender
43,/name/nm0000151/,Morgan Freeman
44,/name/nm1083271/,Megan Fox
45,/name/nm0000352/,Vincent D'Onofrio
46,/name/nm0005377/,Sam Rockwell
47,/name/nm0000104/,Antonio Banderas
50,/name/nm0000139/,Cameron Diaz
53,/name/nm0000158/,Tom Hanks
54,/name/nm0000545/,Helen Mirren
55,/name/nm0000191/,Ewan McGregor
56,/name/nm0000553/,Liam Neeson
57,/name/nm0000668/,Emma Thompson
58,/name/nm0915208/,Naomi Watts
62,/name/nm0000246/,Bruce Willis
63,/name/nm1212722/,Benedict Cumberbatch
64,/name/nm0206257/,Rosario Dawson
67,/name/nm0000242/,Mark Wahlberg
68,/name/nm0358316/,Jon Hamm
79,/name/nm0000949/,Cate Blanchett
85,/name/nm0000418/,Danny Glover
89,/name/nm0005351/,Ryan Reynolds
90,/name/nm0000206/,Keanu Reeves
93,/name/nm0000194/,Julianne Moore
100,/name/nm2225369/,Jennifer Lawrence
103,/name/nm0000604/,John C. Reilly
106,/name/nm0004950/,Jennifer Garner
112,/name/nm0000492/,Jennifer Jason Leigh
115,/name/nm0000216/,Arnold Schwarzenegger
117,/name/nm0350453/,Jake Gyllenhaal
120,/name/nm0000701/,Kate Winslet
122,/name/nm0736622/,Seth Rogen
123,/name/nm1374980/,Zac Efron
144,/name/nm0000134/,Robert De Niro
145,/name/nm0000354/,Matt Damon
149,/name/nm0068338/,Kristen Bell
151,/name/nm0413168/,Hugh Jackman
154,/name/nm0000906/,Annette Bening
157,/name/nm0000195/,Bill Murray
158,/name/nm0749263/,Mark Ruffalo
160,/name/nm0002071/,Will Ferrell
161,/name/nm0085312/,Jack Black
162,/name/nm0000136/,Johnny Depp
165,/name/nm0005458/,Jason Statham
172,/name/nm0000288/,Christian Bale
196,/name/nm0000598/,Dennis Quaid
219,/name/nm0000226/,Will Smith
220,/name/nm0000230/,Sylvester Stallone
221,/name/nm0004266/,Anne Hathaway
223,/name/nm0000093/,Brad Pitt
224,/name/nm0695435/,Chris Pratt
226,/name/nm0719637/,Jeremy Renner
229,/name/nm0124930/,Gerard Butler
233,/name/nm0001618/,Joaquin Phoenix
237,/name/nm0006969/,Elizabeth Banks
239,/name/nm1500155/,Robert Pattinson
248,/name/nm0362766/,Tom Hardy
