,actor,name
0,/name/nm0000001/,Fred Astaire
0,/name/nm0000018/,Kirk Douglas
0,/name/nm0000023/,Judy Garland
0,/name/nm0000030/,Audrey Hepburn
0,/name/nm0000032/,Charlton Heston
0,/name/nm0000054/,Marilyn Monroe
0,/name/nm0000072/,Elizabeth Taylor
0,/name/nm0000080/,Orson Welles
0,/name/nm0000092/,John Cleese
0,/name/nm0000093/,Brad Pitt
0,/name/nm0000095/,Woody Allen
0,/name/nm0000096/,Gillian Anderson
0,/name/nm0000098/,Jennifer Aniston
0,/name/nm0000099/,Patricia Arquette
0,/name/nm0000104/,Antonio Banderas
0,/name/nm0000105/,Adrienne Barbeau
0,/name/nm0000111/,Matthew Broderick
0,/name/nm0000114/,Steve Buscemi
0,/name/nm0000115/,Nicolas Cage
0,/name/nm0000139/,Cameron Diaz
0,/name/nm0000228/,Kevin Spacey
0,/name/nm0000116/,James Cameron
0,/name/nm0000117/,Neve Campbell
0,/name/nm0000118/,John Carpenter
0,/name/nm0000119/,Tia Carrere
0,/name/nm0000126/,Kevin Costner
0,/name/nm0000130/,Jamie Lee Curtis
0,/name/nm0000131/,John Cusack
0,/name/nm0000134/,Robert De Niro
0,/name/nm0000136/,Johnny Depp
0,/name/nm0000138/,Leonardo DiCaprio
0,/name/nm0000140/,Michael Douglas
0,/name/nm0000144/,Cary Elwes
0,/name/nm0000146/,Ralph Fiennes
0,/name/nm0000147/,Colin Firth
0,/name/nm0000148/,Harrison Ford
0,/name/nm0000151/,Morgan Freeman
0,/name/nm0000152/,Richard Gere
0,/name/nm0000153/,Gina Gershon
0,/name/nm0000154/,Mel Gibson
0,/name/nm0000157/,Linda Hamilton
0,/name/nm0000158/,Tom Hanks
0,/name/nm0000159/,Teri Hatcher
0,/name/nm0000160/,Ethan Hawke
0,/name/nm0000161/,Salma Hayek
0,/name/nm0000162/,Anne Heche
0,/name/nm0000163/,Dustin Hoffman
0,/name/nm0000164/,Anthony Hopkins
0,/name/nm0000165/,Ron Howard
0,/name/nm0000166/,Helen Hunt
0,/name/nm0000168/,Samuel L. Jackson
0,/name/nm0000169/,Tommy Lee Jones
0,/name/nm0000170/,Milla Jovovich
0,/name/nm0000171/,Ashley Judd
0,/name/nm0000172/,Harvey Keitel
0,/name/nm0000173/,Nicole Kidman
0,/name/nm0000174/,Val Kilmer
0,/name/nm0000178/,Diane Lane
0,/name/nm0000179/,Jude Law
0,/name/nm0000180/,David Lean
0,/name/nm0000182/,Jennifer Lopez
0,/name/nm0000183/,Traci Lords
0,/name/nm0000185/,Dolph Lundgren
0,/name/nm0000187/,Madonna
0,/name/nm0000190/,Matthew McConaughey
0,/name/nm0000191/,Ewan McGregor
0,/name/nm0000193/,Demi Moore
0,/name/nm0000194/,Julianne Moore
0,/name/nm0000195/,Bill Murray
0,/name/nm0000198/,Gary Oldman
0,/name/nm0000199/,Al Pacino
0,/name/nm0000201/,Michelle Pfeiffer
0,/name/nm0000204/,Natalie Portman
0,/name/nm0000205/,Parker Posey
0,/name/nm0000206/,Keanu Reeves
0,/name/nm0000209/,Tim Robbins
0,/name/nm0000215/,Susan Sarandon
0,/name/nm0000216/,Arnold Schwarzenegger
0,/name/nm0000217/,Martin Scorsese
0,/name/nm0000218/,Kristin Scott Thomas
0,/name/nm0000219/,Steven Seagal
0,/name/nm0000221/,Charlie Sheen
0,/name/nm0000222/,Brooke Shields
0,/name/nm0000224/,Alicia Silverstone
0,/name/nm0000226/,Will Smith
0,/name/nm0000227/,Mira Sorvino
0,/name/nm0000230/,Sylvester Stallone
0,/name/nm0000231/,Oliver Stone
0,/name/nm0000232/,Sharon Stone
0,/name/nm0000233/,Quentin Tarantino
0,/name/nm0000234/,Charlize Theron
0,/name/nm0000237/,John Travolta
0,/name/nm0000241/,Jean-Claude Van Damme
0,/name/nm0000242/,Mark Wahlberg
0,/name/nm0000246/,Bruce Willis
0,/name/nm0000249/,James Woods
0,/name/nm0000250/,Renée Zellweger
0,/name/nm0000255/,Ben Affleck
0,/name/nm0000257/,Alan Alda
0,/name/nm0000261/,Karen Allen
0,/name/nm0000262/,Nancy Allen
0,/name/nm0000268/,Ann-Margret
0,/name/nm0000272/,Fanny Ardant
0,/name/nm0000273/,Alan Arkin
0,/name/nm0000274/,David Arquette
0,/name/nm0000278/,Pernilla August
0,/name/nm0000284/,Adam Baldwin
0,/name/nm0000285/,Alec Baldwin
0,/name/nm0000286/,Stephen Baldwin
0,/name/nm0000287/,William Baldwin
0,/name/nm0000288/,Christian Bale
