,0
0,A.B. Shawky
1,A.J. Eaton
2,A.R. Murugadoss
3,A.T. White
4,Aanand L. Rai
5,Aaron Fisher
6,Aaron Harvey
7,Aaron Horvath
8,Aaron Katz
9,Aaron Kopp
10,Aaron Lieber
11,Aaron Mirtes
12,Aaron Nee
13,Aaron Schimberg
14,Aaron Sorkin
15,Aaron Wolf
16,Aaron Woodley
17,Abbas Kiarostami
18,Abby Epstein
19,Abby Kohn
20,Abhishek Chaubey
21,Abhishek Kapoor
22,Abhishek Sharma
23,Abigail Disney
24,Adam Bolt
25,Adam Carolla
26,Adam Friedman
27,Adam McKay
28,Adam Nimoy
29,Adam Orton
30,Adam Randall
31,Adam Rifkin
32,Adam Robitel
33,Adam Salky
34,Adam Shankman
35,Adam Wingard
36,Aditya Chopra
37,Adrian Grunberg
38,Agnieszka Smoczynska
39,Ahmed Khan
40,Ainsley Gardiner
41,Aislinn Clarke
42,Akan Satayev
43,Akhtem Seitablaev
44,Akiv Ali
45,Akiva Schaffer
46,Akiyuki Shinbo
47,Alain Desrochers
48,Alain Gomis
49,Alain Gsponer
50,Alain Guiraudie
51,Alan Elliott
52,Alan Govenar
53,Alan Mak
54,Alan Taylor
55,Alante Kavaite
56,Alastair Fothergill
57,Albert Hughes
58,Albert Serra
59,Albert Shin
60,Alberto Rodriguez
61,Alec Su
62,Alec Tibaldi
63,Alejandro Amenábar
64,Alejandro G. Iñárritu
65,Alejandro Jodorowsky
66,Alejandro Landes
67,Alejandro Monteverde
68,Aleksander Bach
69,Aleksandr Boguslavskiy
70,Aleksey Mizgiryov
71,Aleksey Sidorov
72,Aleksey Uchitel
73,Aleshia Cowser
74,Alessandro Carloni
75,Alex Brewer
76,Alex Garland
77,Alex Gibney
78,Alex Holmes
79,Alex Kendrick
80,Alex Kurtzman
81,Alex Lehmann
82,Alex Merkin
83,Alex Orrelle
84,Alex Proyas
85,Alex Ranarivelo
86,Alex Ross Perry
87,Alex Smith
88,Alex Thompson
89,Alex Winter
90,Alex Zamm
91,Alexander Payne
92,Alexandra Dean
93,Alexandre Aja
94,Alexandre Avancini
95,Alexandre Moors
96,Alexandre O. Philippe
97,Alexandria Bombach
98,Alexis Bloom
99,Alexis Michalik
100,Alfonso Gomez-Rejon
101,Ali Abbas Zafar
102,Ali Abbasi
103,Ali Soozandeh
104,Ali Yorgancioglu
105,Alice Winocour
